Date,Accident_Count,Avg_Severity,Avg_Temperature,Avg_Humidity,Avg_Visibility,Avg_Wind_Speed,Avg_Precipitation,Accident_Count_7d_MA,Accident_Count_30d_MA,Accident_Count_7d_Std,Accident_Count_Lag_1,Accident_Count_Lag_3,Accident_Count_Lag_7,Accident_Count_Lag_14,Accident_Count_Lag_30,Avg_Temperature_Lag_1,Avg_Humidity_Lag_1,Avg_Visibility_Lag_1,Avg_Temperature_Lag_7,Avg_Humidity_Lag_7,Avg_Visibility_Lag_7,Weather_Risk_Index
2022-05-27,4979,2.0578429403494676,74.3693512753565,66.0897770636674,9.389937738501708,8.940992167101827,0.008925487045591483,3971.1428571428573,4136.966666666666,1006.5665118893664,4504.0,4143.0,5245.0,5902.0,4978.0,72.59191829484902,66.08325932504441,9.356349911190053,74.89075309818875,63.07511916110582,9.176360343183985,0.01378590397967143
2022-05-28,2594,2.1376252891287586,72.72436391673092,62.65458750963762,9.687837316885119,7.883423284502698,0.004175019275250579,3902.714285714286,4061.9666666666667,1090.576409410128,4979.0,4715.0,3073.0,3472.0,4844.0,74.3693512753565,66.0897770636674,9.389937738501708,75.06768630003255,62.56003904978848,9.21754962577286,-0.5080816482048537
2022-05-29,2029,2.1429275505174963,72.16904879250862,60.79842286840808,9.858797437161163,7.564810251355348,0.002828979793001479,3885.5714285714284,3962.4,1123.1930462069295,2594.0,4504.0,2149.0,2506.0,5016.0,72.72436391673092,62.65458750963762,9.687837316885119,74.1447184737087,59.946952070730575,9.588762214983714,-0.7159135687366287
2022-05-30,2262,2.0592396109637487,75.97480106100795,58.80813439434129,9.775419982316533,8.750221043324492,0.0038152077807250225,3603.714285714286,3862.633333333333,1260.102868060865,2029.0,4979.0,4235.0,4769.0,5255.0,72.16904879250862,60.79842286840808,9.858797437161163,71.24982290436836,62.9775678866588,9.26340023612751,-0.5445543642007817
2022-05-31,4680,2.0194444444444444,78.10448717948718,59.90897435897436,9.736217948717949,7.429594017094017,0.003512820512820513,3680.4285714285716,3813.133333333333,1313.6159836043914,2262.0,2594.0,4143.0,4998.0,6165.0,75.97480106100795,58.80813439434129,9.775419982316533,71.3847453536085,63.579773111272026,9.289403813661599,-0.6796018660281274
2022-06-01,5301,2.0298056970382947,77.3437087342011,61.19581211092247,9.628890775325411,7.281079041690247,0.00679683078664403,3764.1428571428573,3870.866666666667,1405.9622361656059,4680.0,2029.0,4715.0,4724.0,3569.0,78.10448717948718,59.90897435897436,9.736217948717949,72.0390243902439,65.14125132555674,9.23152279957582,-0.4979493164936132
2022-06-02,3530,2.03342776203966,76.16883852691218,66.05892351274788,9.244014164305948,6.987677053824362,0.013705382436260623,3625.0,3889.6666666666665,1368.2280511669026,5301.0,2262.0,4504.0,4700.0,2966.0,77.3437087342011,61.19581211092247,9.628890775325411,72.59191829484902,66.08325932504441,9.356349911190053,0.00585144185250043
2022-06-03,1,4.0,65.0,28.0,10.0,0.0,0.0,2913.8571428571427,3710.9333333333334,1779.151429621375,3530.0,4680.0,4979.0,5245.0,5363.0,76.16883852691218,66.05892351274788,9.244014164305948,74.3693512753565,66.0897770636674,9.389937738501708,-2.6660766909582962
2022-06-04,2,3.0,92.0,36.0,10.0,3.0,0.0,2543.5714285714284,3519.5333333333333,2097.979254516336,1.0,5301.0,2594.0,3073.0,5744.0,65.0,28.0,10.0,72.72436391673092,62.65458750963762,9.687837316885119,-2.084218193747258
2022-06-05,584,2.131849315068493,72.9332191780822,61.68664383561644,9.849315068493151,7.262157534246576,0.0014897260273972603,2337.1428571428573,3337.366666666667,2224.3331906117637,2.0,3530.0,2029.0,2149.0,6049.0,92.0,36.0,10.0,72.16904879250862,60.79842286840808,9.858797437161163,-0.7786756147157269
2022-06-06,4426,2.0280162675101674,75.62494351558969,61.443967464979664,9.754744690465431,7.252959783099864,0.013642114776321736,2646.285714285714,3337.733333333333,2358.4826134816444,584.0,1.0,2262.0,4235.0,4415.0,72.9332191780822,61.68664383561644,9.849315068493151,75.97480106100795,58.80813439434129,9.775419982316533,-0.2875952107763493
2022-06-07,3540,1.9790960451977402,74.3,66.31045197740113,9.476234463276837,7.757401129943503,0.006971751412429379,2483.4285714285716,3455.633333333333,2230.5349027488724,4426.0,2.0,4680.0,4143.0,3.0,75.62494351558969,61.443967464979664,9.754744690465431,78.10448717948718,59.90897435897436,9.736217948717949,-0.23975508648796923
2022-06-08,3530,2.0039660056657222,75.71104815864022,65.28668555240793,9.33944759206799,7.5132861189801705,0.01189801699716714,2230.4285714285716,3573.233333333333,1939.082932483184,3540.0,584.0,5301.0,4715.0,2.0,74.3,66.31045197740113,9.476234463276837,77.3437087342011,61.19581211092247,9.628890775325411,-0.054320644216602494
2022-06-09,3941,2.029180411063182,75.9533113422989,63.62344582593251,9.21733062674448,8.64042121289013,0.012509515351433645,2289.1428571428573,3701.5666666666666,1990.5314557148909,3530.0,4426.0,3530.0,4504.0,91.0,75.71104815864022,65.28668555240793,9.33944759206799,76.16883852691218,66.05892351274788,9.244014164305948,0.1195224401854208
2022-06-10,4021,2.054712758020393,76.15891569261377,57.492414822183534,9.596182541656304,6.900696344192987,0.01682666003481721,2863.4285714285716,3662.8333333333335,1790.1767005096428,3941.0,3540.0,1.0,4979.0,5183.0,75.9533113422989,63.62344582593251,9.21733062674448,65.0,28.0,10.0,-0.2466979554111932
